Países,Bloco Econômico,Via,URF,Código NCM,Descrição NCM,Código SH6,Descrição SH6,Código SH4,Descrição SH4,Código SH2,Descrição SH2,Código Seção,Descrição Seção,Unidade estatística,Valor US$ FOB,Quilograma Líquido,Quantidade Estatística,Data,Valor US$ FOB_mensal,Quilograma Líquido_mensal,Valor US$ FOB_anual,Quilograma Líquido_anual
18,0,1,1,52113900,"Outros tecidos de algodão que contenham menos de 85 %, em peso, de algodão, combinados, principal ou unicamente, com fibras sintéticas ou artificiais, com peso superior a 200 g/m2, tintos",521139,"Outros tecidos de algodão tinto, com fibras sintéticas ou artificiais, contendo < 85% em peso de algodão, com peso > 200 g/m2",31,33,18,1,8,3,4,27764,3650,3650,2024-10-01,158792,20248,158792,20248
18,0,1,15,52093200,"Tecidos de algodão que contenham pelo menos 85 %, em peso, de algodão, com peso superior a 200 g/m2, branqueados, em ponto sarjado, incluindo o diagonal, cuja relação de textura não seja superior a 4",520932,"Tecido de algodão tinto, em ponto sarjado, contendo => 85% em peso de algodão, com peso > 200 g/m2",30,35,18,1,8,3,4,32727,3987,3987,2024-10-01,746513,108051,746513,108051
18,0,1,15,52113900,"Outros tecidos de algodão que contenham menos de 85 %, em peso, de algodão, combinados, principal ou unicamente, com fibras sintéticas ou artificiais, com peso superior a 200 g/m2, tintos",521139,"Outros tecidos de algodão tinto, com fibras sintéticas ou artificiais, contendo < 85% em peso de algodão, com peso > 200 g/m2",31,33,18,1,8,3,4,18033,2142,2142,2024-10-01,158792,20248,158792,20248
19,0,1,1,52093200,"Tecidos de algodão que contenham pelo menos 85 %, em peso, de algodão, com peso superior a 200 g/m2, branqueados, em ponto sarjado, incluindo o diagonal, cuja relação de textura não seja superior a 4",520932,"Tecido de algodão tinto, em ponto sarjado, contendo => 85% em peso de algodão, com peso > 200 g/m2",30,35,18,1,8,3,4,111995,17984,17984,2024-10-01,746513,108051,746513,108051
19,0,1,6,25010011,"Sal marinho, a granel, sem agregados",250100,"Sal (incluídos o sal de mesa e o sal desnaturado) e cloreto de sódio puro, mesmo em solução aquosa ou adicionados de agentes antiaglomerantes",20,32,12,24,4,13,4,231136,11556780,11556780,2024-10-01,434689,19412780,434689,19412780
19,0,1,7,52093200,"Tecidos de algodão que contenham pelo menos 85 %, em peso, de algodão, com peso superior a 200 g/m2, branqueados, em ponto sarjado, incluindo o diagonal, cuja relação de textura não seja superior a 4",520932,"Tecido de algodão tinto, em ponto sarjado, contendo => 85% em peso de algodão, com peso > 200 g/m2",30,35,18,1,8,3,4,20565,3340,3340,2024-10-01,746513,108051,746513,108051
20,7,0,4,3063100,"Lagostas (Palinurus spp., Panulirus spp., Jasus spp.), vivas, frescos ou refrigerados",30631,"Lagostas (Palinurus spp., Panulirus spp., Jasus spp.), vivas, frescos ou refrigerados",2,9,0,16,0,0,4,12400,560,560,2024-10-01,23009,1072,23009,1072
21,7,0,14,82032090,"Tenazes, pinças, ferramentas manuais semelhantes de metais comuns",820320,"Alicates (mesmo cortantes), tenazes, pinças e ferramentas semelhantes, manuais, de metais comuns",35,16,22,7,11,5,4,1307,1,1,2024-10-01,1307,1,1307,1
22,3,1,1,8071100,Melancias frescas,80711,Melancias frescas,10,17,3,8,1,12,4,89336,178154,178154,2024-10-01,8220351,15957359,8220351,15957359
22,3,1,1,8071900,Melões frescos,80719,Melões frescos,10,17,3,8,1,12,4,132988,197918,197918,2024-10-01,17343784,25287186,17343784,25287186
22,3,1,7,8071100,Melancias frescas,80711,Melancias frescas,10,17,3,8,1,12,4,20481,43424,43424,2024-10-01,8220351,15957359,8220351,15957359
22,3,1,7,8071900,Melões frescos,80719,Melões frescos,10,17,3,8,1,12,4,1523,2730,2730,2024-10-01,17343784,25287186,17343784,25287186
23,3,0,10,8072000,Mamões (papaias) frescos,80720,Mamões (papaias) frescos,10,17,3,8,1,12,4,5920,5792,5792,2024-10-01,1524439,1324675,1524439,1324675
23,3,0,13,8072000,Mamões (papaias) frescos,80720,Mamões (papaias) frescos,10,17,3,8,1,12,4,87993,73458,73458,2024-10-01,1524439,1324675,1524439,1324675
23,3,0,14,39219019,"Outras chapas estratificadas, reforçadas ou com suporte",392190,"Outras chapas, folhas, películas, tiras, lâminas, de plásticos",27,20,16,19,6,9,4,1232,10,10,2024-10-01,67339,10977,67339,10977
23,3,1,1,8071100,Melancias frescas,80711,Melancias frescas,10,17,3,8,1,12,4,1882,2752,2752,2024-10-01,8220351,15957359,8220351,15957359
23,3,1,1,8071900,Melões frescos,80719,Melões frescos,10,17,3,8,1,12,4,344375,577038,577038,2024-10-01,17343784,25287186,17343784,25287186
23,3,1,1,25161200,"Granito, simplesmente cortado a serra ou por outro meio, em blocos ou placas de forma quadrada ou retangular",251612,"Granito, cortado em blocos ou placas de forma quadrada ou retangular",22,15,12,24,4,13,2,246950,887430,255,2024-10-01,471465,1890177,471465,1890177
23,3,1,5,31010000,"Adubos (fertilizantes) de origem animal ou vegetal, mesmo misturados entre si ou tratados quimicamente; adubos (fertilizantes) resultantes da mistura ou do tratamento químico de produtos de origem animal ou vegetal",310100,"Adubos ou fertilizantes de origem animal ou vegetal, mesmo misturados entre si ou tratados quimicamente",26,0,15,0,5,10,4,220481,403600,403600,2024-10-01,361533,628600,361533,628600
24,4,1,3,27101922,Fuel oil,271019,"Outros óleos de petróleo ou de minerais betuminosos e preparações, exceto desperdícios",25,39,14,6,4,13,2,123691,200148,200,2024-10-01,457973,582495,457973,582495
25,1,1,15,68029390,Outros granitos trabalhados de outro modo e suas obras,680293,Granitos trabalhados de outro modo e suas obras,32,23,19,13,9,7,4,22659,23540,23540,2024-10-01,293160,321532,293160,321532
26,6,1,1,41015010,"Couros e peles em bruto, de bovinos, inteiros, de peso unitário superior a 16 kg, sem dividir",410150,"Couros e peles de bovinos ou de eqüídeos, inteiros, de peso unitário > 16 kg",28,8,17,17,7,8,4,63578,196000,196000,2024-10-01,332808,1165000,332808,1165000
26,6,1,5,41015010,"Couros e peles em bruto, de bovinos, inteiros, de peso unitário superior a 16 kg, sem dividir",410150,"Couros e peles de bovinos ou de eqüídeos, inteiros, de peso unitário > 16 kg",28,8,17,17,7,8,4,72803,222000,222000,2024-10-01,332808,1165000,332808,1165000
26,6,1,18,41015010,"Couros e peles em bruto, de bovinos, inteiros, de peso unitário superior a 16 kg, sem dividir",410150,"Couros e peles de bovinos ou de eqüídeos, inteiros, de peso unitário > 16 kg",28,8,17,17,7,8,4,82135,243000,243000,2024-10-01,332808,1165000,332808,1165000
27,3,1,1,8071100,Melancias frescas,80711,Melancias frescas,10,17,3,8,1,12,4,164668,319914,319914,2024-10-01,8220351,15957359,8220351,15957359
27,3,1,1,8071900,Melões frescos,80719,Melões frescos,10,17,3,8,1,12,4,169657,230536,230536,2024-10-01,17343784,25287186,17343784,25287186
28,2,2,16,18069000,Outros chocolates e preparações alimentícias contendo cacau,180690,Outros chocolates e preparações alimentícias contendo cacau,14,5,7,5,3,11,4,1888,1560,1560,2024-10-01,1888,1560,1888,1560
